id;name;description;chiffrage
1;mobile Fish;Home Loan Account Table Computer;1
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;1
3;Officer;methodology Albania;4
4;intangible;enable Gorgeous Frozen Pants;2
5;Licensed Savings Account;Cambridgeshire Mississippi;1
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;2
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;6
8;hardware Costa Rica Mayotte;Industrial;7
9;Views e-enable Communications;National Awesome sky blue;1
10;software scale interactive;Louisiana Specialist Home Loan Account;3
